pair,leg_x,leg_y,sector,direction,entry_date,exit_date,holding_days,entry_z,exit_z,hedge_ratio,half_life,pnl,exit_reason,capital_at_entry,qty_x,qty_y,entry_px,entry_py
"('VGK', 'EWP')",VGK,EWP,EUROPE,LONG,2015-07-23,2015-07-31,6,-3.192721004024024,0.6168065683238355,0.7736764961806493,8.010818695202877,75.35801559809592,convergence,50000,141.62167750508743,-174.0702137013675,39.81033706665039,25.058815002441406
"('VGK', 'EWP')",VGK,EWP,EUROPE,SHORT,2015-08-05,2015-08-12,5,2.118818382023543,0.08416213089188762,0.7736764961806493,8.010818695202877,86.58897994840596,convergence,50000,-140.52838550408228,177.73701375863604,40.12005615234375,24.54183959960937
"('FEZ', 'EWP')",FEZ,EWP,EUROPE,SHORT,2015-08-05,2015-08-13,6,2.5631131786923356,0.5393020546538009,0.9050388883800358,8.439914247601225,69.88554127944451,convergence,50000,-179.36069748999003,193.57812627758776,29.26637077331543,24.54183959960937
"('XLY', 'XRT')",XLY,XRT,CONSUMER_DISC,SHORT,2015-07-28,2015-08-26,21,2.619899512177745,0.8029965644976139,0.8079293188693446,8.287366247157742,90.2069390749463,cointegration_drift,50000,-78.56255910323021,107.9248017510075,70.4049072265625,41.40670394897461
"('FEZ', 'EWP')",FEZ,EWP,EUROPE,LONG,2015-08-24,2015-09-03,8,-2.1125189513182345,0.019772635073620648,0.9050388883800358,8.439914247601225,157.22021299948744,convergence,50000,201.70971338751247,-211.11996316870048,26.023717880249023,22.50267219543457
"('VGK', 'EWP')",VGK,EWP,EUROPE,LONG,2015-08-24,2015-09-04,9,-2.41230450872417,0.36332702039596354,0.7736764961806493,8.010818695202877,87.58481416850972,convergence,50000,155.98708055651488,-193.8433464565594,36.14406204223633,22.50267219543457
"('FEZ', 'EWP')",FEZ,EWP,EUROPE,SHORT,2015-11-02,2015-11-27,18,2.317209263805925,3.2885232512086735,0.8456499980619196,8.439914247601225,-93.6718918667038,stop_loss_time,50000,-194.4603883378231,200.41636530757245,27.862462997436523,22.86167907714844
"('VGK', 'EWP')",VGK,EWP,EUROPE,SHORT,2015-11-02,2015-11-27,18,2.2009564902493883,3.5825875136664163,0.7120351467380674,8.010818695202877,-69.06636939104004,stop_loss_time,50000,-153.1979075363473,181.92007701090589,38.12716293334961,22.86167907714844
"('IAU', 'SLV')",IAU,SLV,COMMODITIES,SHORT,2016-06-28,2016-06-29,1,2.093068936553031,0.5761876848060525,0.697718388291985,5.792865443104261,73.05587826097347,convergence,50000,-232.63264109333738,243.0361700529227,25.31999969482422,16.90999984741211
"('XLF', 'IAI')",XLF,IAI,FINANCIALS,LONG,2016-06-27,2016-06-29,2,-2.390116415756638,1.3028344231782532,0.6082778067062803,6.3309077766865895,113.74690491325853,convergence,50000,424.2237844684235,-129.25805093738515,14.656960487365724,29.26060485839844
