pair,leg_x,leg_y,sector,direction,entry_date,exit_date,holding_days,entry_z,exit_z,hedge_ratio,half_life,pnl,exit_reason,capital_at_entry,qty_x,qty_y,entry_px,entry_py
"('XLF', 'IAI')",XLF,IAI,FINANCIALS,LONG,2011-08-08,2011-09-01,18,-2.271728781247778,-0.24364554549938708,0.776336322478613,10.479668817029314,258.87578983527715,convergence,51283.09641334468,760.7333914184862,-265.1148683492328,7.590083599090576,16.90810203552246
"('XBI', 'IBB')",XBI,IBB,HEALTHCARE,LONG,2011-08-09,2011-09-01,17,-2.862596717794948,-2.5040328568929584,0.9953879383695512,5.657773271086196,-71.89673047848711,max_holding,51264.15678259069,269.0884697503873,-176.43481761872965,19.095075607299805,28.988420486450195
"('EWT', 'EWY')",EWT,EWY,ASIA_DEV,SHORT,2011-08-11,2011-09-13,22,3.344564327022665,2.8918881595375723,0.9510986122103829,7.302834201561681,54.51657717948051,max_holding,50921.814043120365,-344.56712823399397,113.55602464436024,15.148889541625977,43.71897888183594
"('XLF', 'IAI')",XLF,IAI,FINANCIALS,LONG,2011-09-23,2011-09-30,5,-2.513174809837701,-0.07200782936594405,0.776336322478613,10.479668817029314,167.84188262589777,convergence,51163.30967965663,787.0881140227606,-276.6755674982668,7.318803310394287,16.16376495361328
"('XBI', 'IBB')",XBI,IBB,HEALTHCARE,LONG,2011-09-20,2011-10-03,9,-2.15420874183794,-5.4184270879111995,0.9953879383695512,5.657773271086196,-63.90130604753295,stop_loss,51163.30967965663,251.3024606496335,-160.63579303804593,20.406312942504883,31.776885986328125
"('XBI', 'IBB')",XBI,IBB,HEALTHCARE,LONG,2011-10-03,2011-10-05,2,-2.214170680602662,-0.29086648004306015,0.9953879383695512,5.657773271086196,85.54660146169216,convergence,51267.250256235,281.35176098050357,-177.8314074448086,18.263879776000977,28.762496948242188
"('XBI', 'IBB')",XBI,IBB,HEALTHCARE,SHORT,2011-10-17,2011-11-09,17,2.080470453990696,1.1983737071039298,0.9953879383695512,5.657773271086196,2.309575042647369,max_holding,51352.79685769669,-256.52618798179515,166.594381660767,20.064809799194336,30.75379943847656
"('XBI', 'IBB')",XBI,IBB,HEALTHCARE,LONG,2011-11-22,2011-12-16,17,-2.3968178760107874,-3.169456748016573,0.9953879383695512,5.657773271086196,-49.36920756652713,max_holding,51355.10643273934,257.7794344175553,-161.8956408188917,19.968158721923828,31.647798538208008
"('VHT', 'XBI')",VHT,XBI,HEALTHCARE,LONG,2012-06-26,2012-06-29,3,-2.3252881082426007,-0.42627069879037,0.5854956640318462,7.875893356519518,86.66947672479066,convergence,51305.737225172816,115.87062646021715,-135.90993022520897,55.85441589355469,27.88068008422852
"('XOP', 'OIH')",XOP,OIH,ENERGY,LONG,2014-06-30,2014-07-16,11,-2.1272651091434946,-5.35459687838089,1.1127426498537238,8.015689327240782,-170.15750419219876,stop_loss,51392.406701897606,18.133612229103694,-5.713112475512749,268.2860107421875,947.5547485351562
"('XLI', 'IYT')",XLI,IYT,INDUSTRIALS,LONG,2014-07-02,2014-07-23,14,-2.144233200799902,-4.357431337712675,1.0821584858549418,9.000086044263076,-164.72445041687575,regime_break,51392.406701897606,111.62557592335322,-164.65005832985415,44.223331451416016,32.44472885131836
"('XLI', 'IYT')",XLI,IYT,INDUSTRIALS,LONG,2014-07-23,2014-07-30,5,-2.0845794837552396,-2.0345262710820875,1.0821584858549418,9.000086044263076,-8.881803771059838,regime_break,51057.52474728853,111.12331902940439,-159.27252597980166,44.13374328613281,33.32160949707031
"('XOP', 'OIH')",XOP,OIH,ENERGY,LONG,2014-07-16,2014-08-14,21,-2.3142569790312257,-1.7057728457694152,1.1127426498537238,8.015689327240782,87.05289586680611,cointegration_drift,51222.24919770541,18.838281561695734,-5.733905511824368,257.3953857421875,940.99267578125
"('XOP', 'OIH')",XOP,OIH,ENERGY,SHORT,2014-08-26,2014-10-01,25,2.4592292859740077,1.0659587710097886,1.1127426498537238,8.015689327240782,-1.5922171102861977,max_holding,51135.69583938428,-19.028217286200107,5.956839431304251,254.39552307128903,904.24560546875
"('XLI', 'IYT')",XLI,IYT,INDUSTRIALS,LONG,2014-09-05,2014-10-06,21,-2.5762318283593615,-3.836258042729191,1.0821584858549418,9.000086044263076,10.418920569518034,cointegration_drift,51135.69583938428,111.00665348105905,-156.76609025628366,44.24776840209961,33.90620040893555
"('QQQ', 'SCHG')",QQQ,SCHG,US_GROWTH,SHORT,2014-10-02,2014-10-14,8,3.2078041419021286,5.994420717725512,1.3050921687543813,9.669747341617375,-55.26863067265069,stop_loss,51134.10362227399,-49.68721121897901,1038.4398226138294,89.29100799560547,5.575864315032959
"('XLI', 'IYT')",XLI,IYT,INDUSTRIALS,SHORT,2014-10-14,2014-10-15,1,2.557044541667844,0.7575544147077989,1.0821584858549418,9.000086044263076,15.35411457082461,regime_break,51089.253912170854,-119.39525789450751,170.01559462258436,41.10159683227539,31.23545837402344
"('SCHG', 'IYW')",SCHG,IYW,US_GROWTH,LONG,2014-10-02,2014-10-21,13,-2.117172621967939,1.3345334106583937,0.7652250203035107,10.051424816586616,95.72436256782689,convergence,51134.10362227399,1039.0306800335065,-193.48295497064476,5.575864315032959,22.91326713562012
"('XLI', 'IYT')",XLI,IYT,INDUSTRIALS,LONG,2014-10-22,2014-10-31,7,-2.010072165658588,0.16873595354435714,1.0821584858549418,9.000086044263076,10.889812324487307,convergence,51200.3323893095,115.38229583611749,-162.17750310725353,42.62356948852539,32.8162727355957
"('QQQ', 'VUG')",QQQ,VUG,US_GROWTH,SHORT,2014-10-02,2014-10-31,21,2.329117010998391,0.24874643764430884,1.2321309616427436,10.096071188510063,40.65684506629604,cointegration_drift,51134.10362227399,-51.31132690521975,63.518359409070776,89.29100799560547,88.87478637695312
